Team,Season,HDCF,Time Led,Playoff Wins,GF_EN,GA_EN,PP%,PK%,W,ROW,,,,,
STL,2016,49.45,19.43,10,11,12,21.5,85.1,49,44,,,,,
T.B,2016,51.46,20.8,11,13,16,15.8,84.0,46,43,,,,,
TOR,2016,49.84,13.2,-1,12,13,15.4,81.6,29,23,,,,,
VAN,2016,44.73,16.42,-1,10,15,15.8,81.1,31,26,,,,,
WSH,2016,51.05,20.52,6,14,7,21.9,85.2,56,52,,,,,
WPG,2016,49.48,16.48,-1,13,17,14.8,78.4,35,32,,,,,
ANA,2017,52.26,22.53,11,8,5,18.7,84.7,46,43,,,,,
ARI,2017,41.77,14.7,-1,4,12,16.2,77.3,30,24,,,,,
BOS,2017,53.5,21.62,2,15,8,21.7,85.7,44,42,,,,,
BUF,2017,50.14,18.2,-1,6,10,24.5,77.6,33,31,,,,,
CGY,2017,48.37,19.92,0,9,9,20.2,81.6,45,41,,,,,
CAR,2017,50.67,17.95,-1,8,8,17.7,84.2,36,33,,,,,
CHI,2017,47.04,21.22,0,19,7,18.0,77.7,50,46,,,,,
COL,2017,45.45,10.1,-1,5,15,12.6,76.6,22,21,,,,,
CBJ,2017,51.65,23.95,1,9,9,19.9,82.5,50,48,,,,,
DAL,2017,51.68,17.27,-1,12,14,17.9,73.9,34,33,,,,,
DET,2017,44.41,15.25,-1,3,9,15.1,80.9,33,24,,,,,
EDM,2017,50.47,20.45,7,10,8,22.9,80.7,47,43,,,,,
FLA,2017,46.15,17.25,-1,8,11,17.0,85.3,35,30,,,,,
L.A,2017,53.54,14.05,-1,7,15,19.1,84.6,39,37,,,,,
MIN,2017,56.38,23.85,1,16,7,21.0,82.9,49,46,,,,,
MTL,2017,53.98,19.42,2,7,7,19.7,81.1,47,44,,,,,
NSH,2017,50.83,20,14,11,15,18.9,80.9,41,39,,,,,
N.J,2017,48.94,15.27,-1,6,13,17.5,79.6,28,25,,,,,
NYI,2017,49.17,21.53,-1,10,7,15.0,81.9,41,39,,,,,
NYR,2017,50.3,19.87,6,14,5,20.2,79.8,48,45,,,,,
